frame  bone                x    y
0      Head              276  146
0      Hips              257  238
0      LeftArm           273  152
0      LeftFoot          268  359
0      LeftForeArm       254  189
0      LeftHand          250  224
0      LeftLeg           284  294
0      LeftShoulder      269  169
0      LeftToeBase       286  371
0      LeftUpLeg         261  243
0      Neck              272  164
0      RightArm          269  193
0      RightFoot         240  388
0      RightForeArm      250  238
0      RightHand         247  283
0      RightLeg          264  330
0      RightShoulder     267  176
0      RightToeBase      257  408
0      RightUpLeg        253  264
0      Spine             258  217
0      Spine1            265  197
0      Spine2            269  176
0      head_end          297  124
0      headfront         292  156
7      Head              266  142
7      Hips              257  237
7      LeftArm           266  150
7      LeftFoot          266  358
7      LeftForeArm       247  190
7      LeftHand          240  226
7      LeftLeg           281  294
7      LeftShoulder      263  166
7      LeftToeBase       284  371
7      LeftUpLeg         261  242
7      Neck              266  161
7      RightArm          264  189
7      RightFoot         238  387
7      RightForeArm      248  235
7      RightHand         246  282
7      RightLeg          260  328
7      RightShoulder     262  174
7      RightToeBase      255  408
7      RightUpLeg        253  262
7      Spine             258  215
7      Spine1            263  194
7      Spine2            265  173
7      head_end          291  122
7      headfront         280  153
14     Head              277  146
14     Hips              257  239
14     LeftArm           274  152
14     LeftFoot          268  359
14     LeftForeArm       253  189
14     LeftHand          248  224
14     LeftLeg           285  294
14     LeftShoulder      269  169
14     LeftToeBase       287  371
14     LeftUpLeg         261  243
14     Neck              273  164
14     RightArm          269  193
14     RightFoot         241  388
14     RightForeArm      250  238
14     RightHand         249  283
14     RightLeg          264  331
14     RightShoulder     268  176
14     RightToeBase      257  408
14     RightUpLeg        253  264
14     Spine             258  217
14     Spine1            265  197
14     Spine2            270  176
14     head_end          298  124
14     headfront         292  156
