frame  bone                x    y
0      Head              252  155
0      Hips              256  239
0      LeftArm           286  179
0      LeftFoot          287  383
0      LeftForeArm       294  210
0      LeftHand          303  248
0      LeftLeg           286  327
0      LeftShoulder      261  179
0      LeftToeBase       292  409
0      LeftUpLeg         275  257
0      Neck              253  172
0      RightArm          222  181
0      RightFoot         236  367
0      RightForeArm      217  212
0      RightHand         210  251
0      RightLeg          226  318
0      RightShoulder     248  178
0      RightToeBase      227  392
0      RightUpLeg        238  252
0      Spine             256  218
0      Spine1            255  201
0      Spine2            254  182
0      head_end          252  145
0      headfront         251  173
7      Head              254  147
7      Hips              256  238
7      LeftArm           287  173
7      LeftFoot          287  382
7      LeftForeArm       291  204
7      LeftHand          298  241
7      LeftLeg           286  325
7      LeftShoulder      262  174
7      LeftToeBase       292  407
7      LeftUpLeg         275  255
7      Neck              255  166
7      RightArm          223  175
7      RightFoot         236  366
7      RightForeArm      217  208
7      RightHand         207  248
7      RightLeg          228  315
7      RightShoulder     249  173
7      RightToeBase      228  391
7      RightUpLeg        238  250
7      Spine             256  217
7      Spine1            256  198
7      Spine2            255  178
7      head_end          255  141
7      headfront         253  166
14     Head              252  155
14     Hips              256  239
14     LeftArm           286  180
14     LeftFoot          287  383
14     LeftForeArm       294  209
14     LeftHand          304  247
14     LeftLeg           286  328
14     LeftShoulder      261  179
14     LeftToeBase       291  409
14     LeftUpLeg         275  257
14     Neck              253  172
14     RightArm          222  181
14     RightFoot         236  368
14     RightForeArm      217  212
14     RightHand         209  252
14     RightLeg          226  318
14     RightShoulder     248  179
14     RightToeBase      227  392
14     RightUpLeg        238  252
14     Spine             256  218
14     Spine1            255  201
14     Spine2            254  183
14     head_end          252  146
14     headfront         252  174
