frame  bone                x    y
0      Head              322  163
0      Hips              262  246
0      LeftArm           304  169
0      LeftFoot          151  311
0      LeftForeArm       287  196
0      LeftHand          315  236
0      LeftLeg           230  308
0      LeftShoulder      303  184
0      LeftToeBase       125  316
0      LeftUpLeg         255  250
0      Neck              311  181
0      RightArm          294  205
0      RightFoot         313  374
0      RightForeArm      243  220
0      RightHand         253  264
0      RightLeg          302  314
0      RightShoulder     303  192
0      RightToeBase      334  384
0      RightUpLeg        254  271
0      Spine             272  226
0      Spine1            288  209
0      Spine2            302  192
0      head_end          341  139
0      headfront         338  172
10     Head              321  158
10     Hips              262  245
10     LeftArm           294  164
10     LeftFoot          319  366
10     LeftForeArm       240  161
10     LeftHand          241  197
10     LeftLeg           305  293
10     LeftShoulder      301  181
10     LeftToeBase       340  379
10     LeftUpLeg         253  248
10     Neck              311  177
10     RightArm          319  201
10     RightFoot         141  305
10     RightForeArm      310  255
10     RightHand         335  251
10     RightLeg          220  323
10     RightShoulder     305  189
10     RightToeBase      115  311
10     RightUpLeg        255  270
10     Spine             273  226
10     Spine1            288  207
10     Spine2            303  188
10     head_end          341  135
10     headfront         337  167
19     Head              323  159
19     Hips              262  243
19     LeftArm           307  166
19     LeftFoot          138  316
19     LeftForeArm       300  195
19     LeftHand          331  228
19     LeftLeg           217  300
19     LeftShoulder      304  182
19     LeftToeBase       115  328
19     LeftUpLeg         255  246
19     Neck              312  178
19     RightArm          296  199
19     RightFoot         326  366
19     RightForeArm      243  208
19     RightHand         242  256
19     RightLeg          307  307
19     RightShoulder     303  188
19     RightToeBase      348  376
19     RightUpLeg        254  267
19     Spine             272  223
19     Spine1            288  206
19     Spine2            303  189
19     head_end          342  136
19     headfront         339  168
