frame  bone                x    y
0      Head              253  208
0      Hips              252  255
0      LeftArm           283  221
0      LeftFoot          254  255
0      LeftForeArm       303  250
0      LeftHand          270  285
0      LeftLeg           269  307
0      LeftShoulder      257  221
0      LeftToeBase       252  244
0      LeftUpLeg         271  265
0      Neck              251  219
0      RightArm          222  216
0      RightFoot         250  405
0      RightForeArm      205  192
0      RightHand         198  238
0      RightLeg          241  336
0      RightShoulder     245  221
0      RightToeBase      254  431
0      RightUpLeg        234  264
0      Spine             252  242
0      Spine1            252  234
0      Spine2            251  224
0      head_end          254  184
0      headfront         253  219
10     Head              259  207
10     Hips              252  254
10     LeftArm           285  212
10     LeftFoot          253  404
10     LeftForeArm       294  184
10     LeftHand          302  225
10     LeftLeg           268  333
10     LeftShoulder      261  219
10     LeftToeBase       253  429
10     LeftUpLeg         271  262
10     Neck              257  218
10     RightArm          229  230
10     RightFoot         246  241
10     RightForeArm      206  264
10     RightHand         244  297
10     RightLeg          237  296
10     RightShoulder     250  222
10     RightToeBase      245  233
10     RightUpLeg        234  264
10     Spine             252  241
10     Spine1            255  233
10     Spine2            256  224
10     head_end          260  183
10     headfront         259  218
19     Head              254  206
19     Hips              252  251
19     LeftArm           283  220
19     LeftFoot          254  253
19     LeftForeArm       304  256
19     LeftHand          267  284
19     LeftLeg           268  291
19     LeftShoulder      258  219
19     LeftToeBase       252  250
19     LeftUpLeg         271  262
19     Neck              251  216
19     RightArm          222  211
19     RightFoot         248  404
19     RightForeArm      207  181
19     RightHand         191  220
19     RightLeg          239  332
19     RightShoulder     245  218
19     RightToeBase      252  429
19     RightUpLeg        234  261
19     Spine             252  238
19     Spine1            251  231
19     Spine2            251  222
19     head_end          255  182
19     headfront         254  217
