frame  bone                x    y
0      Head              264  138
0      Hips              255  246
0      LeftArm           228  169
0      LeftFoot          233  359
0      LeftForeArm       190  202
0      LeftHand          206  232
0      LeftLeg           246  306
0      LeftShoulder      248  171
0      LeftToeBase       227  384
0      LeftUpLeg         239  259
0      Neck              257  161
0      RightArm          275  187
0      RightFoot         266  393
0      RightForeArm      289  238
0      RightHand         306  268
0      RightLeg          274  313
0      RightShoulder     259  174
0      RightToeBase      271  390
0      RightUpLeg        275  263
0      Spine             253  223
0      Spine1            253  200
0      Spine2            254  176
0      head_end          265  111
0      headfront         284  137
8      Head              266  139
8      Hips              255  245
8      LeftArm           230  175
8      LeftFoot          245  387
8      LeftForeArm       192  203
8      LeftHand          187  232
8      LeftLeg           246  307
8      LeftShoulder      252  172
8      LeftToeBase       246  384
8      LeftUpLeg         236  259
8      Neck              260  162
8      RightArm          285  185
8      RightFoot         278  354
8      RightForeArm      307  235
8      RightHand         314  257
8      RightLeg          291  297
8      RightShoulder     264  175
8      RightToeBase      286  379
8      RightUpLeg        273  262
8      Spine             256  224
8      Spine1            257  201
8      Spine2            258  177
8      head_end          268  111
8      headfront         285  137
15     Head              265  139
15     Hips              255  245
15     LeftArm           231  170
15     LeftFoot          233  370
15     LeftForeArm       200  204
15     LeftHand          233  225
15     LeftLeg           244  319
15     LeftShoulder      249  171
15     LeftToeBase       227  396
15     LeftUpLeg         238  258
15     Neck              257  161
15     RightArm          274  189
15     RightFoot         267  379
15     RightForeArm      279  236
15     RightHand         301  272
15     RightLeg          275  301
15     RightShoulder     259  175
15     RightToeBase      273  376
15     RightUpLeg        274  262
15     Spine             254  223
15     Spine1            254  200
15     Spine2            255  176
15     head_end          266  111
15     headfront         285  138
