frame  bone                x    y
0      Head              284  159
0      Hips              257  246
0      LeftArm           285  170
0      LeftFoot          203  316
0      LeftForeArm       286  181
0      LeftHand          299  228
0      LeftLeg           283  316
0      LeftShoulder      271  174
0      LeftToeBase       193  332
0      LeftUpLeg         262  253
0      Neck              273  171
0      RightArm          244  191
0      RightFoot         231  384
0      RightForeArm      202  226
0      RightHand         216  274
0      RightLeg          267  330
0      RightShoulder     264  180
0      RightToeBase      253  397
0      RightUpLeg        250  270
0      Spine             258  223
0      Spine1            262  202
0      Spine2            267  181
0      head_end          284  132
0      headfront         287  171
8      Head              284  160
8      Hips              257  246
8      LeftArm           276  171
8      LeftFoot          241  372
8      LeftForeArm       283  181
8      LeftHand          300  217
8      LeftLeg           279  314
8      LeftShoulder      267  176
8      LeftToeBase       264  382
8      LeftUpLeg         260  250
8      Neck              271  173
8      RightArm          247  197
8      RightFoot         208  339
8      RightForeArm      213  240
8      RightHand         237  280
8      RightLeg          287  334
8      RightShoulder     263  183
8      RightToeBase      196  362
8      RightUpLeg        255  271
8      Spine             257  224
8      Spine1            260  204
8      Spine2            265  183
8      head_end          283  134
8      headfront         287  172
15     Head              281  158
15     Hips              257  245
15     LeftArm           283  172
15     LeftFoot          181  314
15     LeftForeArm       290  191
15     LeftHand          304  239
15     LeftLeg           261  315
15     LeftShoulder      268  174
15     LeftToeBase       167  329
15     LeftUpLeg         263  251
15     Neck              270  170
15     RightArm          239  189
15     RightFoot         255  384
15     RightForeArm      189  211
15     RightHand         192  260
15     RightLeg          281  327
15     RightShoulder     261  179
15     RightToeBase      277  397
15     RightUpLeg        251  270
15     Spine             257  222
15     Spine1            260  201
15     Spine2            265  180
15     head_end          280  131
15     headfront         283  169
