frame  bone                x    y
0      Head              276  200
0      Hips              257  253
0      LeftArm           287  191
0      LeftFoot          275  300
0      LeftForeArm       298  190
0      LeftHand          317  231
0      LeftLeg           284  338
0      LeftShoulder      270  203
0      LeftToeBase       279  316
0      LeftUpLeg         275  264
0      Neck              268  203
0      RightArm          236  219
0      RightFoot         255  371
0      RightForeArm      204  248
0      RightHand         220  296
0      RightLeg          247  340
0      RightShoulder     259  207
0      RightToeBase      259  394
0      RightUpLeg        238  267
0      Spine             258  236
0      Spine1            260  221
0      Spine2            264  208
0      head_end          278  173
0      headfront         296  202
8      Head              276  197
8      Hips              257  254
8      LeftArm           284  192
8      LeftFoot          262  376
8      LeftForeArm       290  194
8      LeftHand          308  237
8      LeftLeg           284  335
8      LeftShoulder      268  201
8      LeftToeBase       267  399
8      LeftUpLeg         276  261
8      Neck              267  201
8      RightArm          235  217
8      RightFoot         252  285
8      RightForeArm      194  232
8      RightHand         217  277
8      RightLeg          239  343
8      RightShoulder     257  206
8      RightToeBase      248  294
8      RightUpLeg        240  271
8      Spine             255  236
8      Spine1            258  221
8      Spine2            262  207
8      head_end          278  169
8      headfront         296  198
15     Head              274  198
15     Hips              257  252
15     LeftArm           289  192
15     LeftFoot          272  281
15     LeftForeArm       310  201
15     LeftHand          324  250
15     LeftLeg           281  330
15     LeftShoulder      270  201
15     LeftToeBase       276  290
15     LeftUpLeg         275  264
15     Neck              267  201
15     RightArm          235  215
15     RightFoot         255  389
15     RightForeArm      202  232
15     RightHand         196  276
15     RightLeg          246  341
15     RightShoulder     258  204
15     RightToeBase      258  412
15     RightUpLeg        238  267
15     Spine             258  234
15     Spine1            260  220
15     Spine2            264  206
15     head_end          277  170
15     headfront         294  200
