frame  bone                x    y
0      Head              203  181
0      Hips              255  253
0      LeftArm           250  205
0      LeftFoot          303  338
0      LeftForeArm       295  237
0      LeftHand          291  286
0      LeftLeg           223  335
0      LeftShoulder      231  196
0      LeftToeBase       311  360
0      LeftUpLeg         262  278
0      Neck              220  189
0      RightArm          215  184
0      RightFoot         270  378
0      RightForeArm      226  201
0      RightHand         202  244
0      RightLeg          226  318
0      RightShoulder     225  191
0      RightToeBase      246  390
0      RightUpLeg        256  257
0      Spine             249  233
0      Spine1            239  214
0      Spine2            228  197
0      head_end          202  155
0      headfront         201  193
8      Head              208  181
8      Hips              255  254
8      LeftArm           254  207
8      LeftFoot          261  382
8      LeftForeArm       298  237
8      LeftHand          289  286
8      LeftLeg           229  336
8      LeftShoulder      234  195
8      LeftToeBase       238  395
8      LeftUpLeg         264  278
8      Neck              223  188
8      RightArm          215  182
8      RightFoot         310  314
8      RightForeArm      234  184
8      RightHand         216  231
8      RightLeg          231  318
8      RightShoulder     227  190
8      RightToeBase      325  329
8      RightUpLeg        254  261
8      Spine             249  232
8      Spine1            240  213
8      Spine2            231  196
8      head_end          208  154
8      headfront         207  193
15     Head              204  178
15     Hips              255  252
15     LeftArm           249  207
15     LeftFoot          332  334
15     LeftForeArm       285  249
15     LeftHand          260  291
15     LeftLeg           251  341
15     LeftShoulder      232  195
15     LeftToeBase       347  354
15     LeftUpLeg         262  278
15     Neck              221  187
15     RightArm          219  181
15     RightFoot         238  378
15     RightForeArm      243  193
15     RightHand         236  231
15     RightLeg          212  310
15     RightShoulder     227  189
15     RightToeBase      215  390
15     RightUpLeg        256  256
15     Spine             249  232
15     Spine1            240  213
15     Spine2            230  195
15     head_end          204  152
15     headfront         202  191
