frame  bone                x    y
0      Head              259  144
0      Hips              256  239
0      LeftArm           241  160
0      LeftFoot          253  350
0      LeftForeArm       233  200
0      LeftHand          231  236
0      LeftLeg           293  292
0      LeftShoulder      246  168
0      LeftToeBase       267  367
0      LeftUpLeg         260  242
0      Neck              250  163
0      RightArm          243  195
0      RightFoot         257  385
0      RightForeArm      246  245
0      RightHand         259  288
0      RightLeg          273  326
0      RightShoulder     247  175
0      RightToeBase      280  398
0      RightUpLeg        259  264
0      Spine             250  218
0      Spine1            249  196
0      Spine2            248  175
0      head_end          258  116
0      headfront         278  144
12     Head              265  146
12     Hips              256  240
12     LeftArm           245  161
12     LeftFoot          248  373
12     LeftForeArm       250  200
12     LeftHand          263  236
12     LeftLeg           270  305
12     LeftShoulder      250  169
12     LeftToeBase       272  382
12     LeftUpLeg         257  243
12     Neck              255  164
12     RightArm          246  196
12     RightFoot         269  381
12     RightForeArm      243  247
12     RightHand         249  292
12     RightLeg          301  322
12     RightShoulder     251  176
12     RightToeBase      287  399
12     RightUpLeg        261  265
12     Spine             251  219
12     Spine1            251  197
12     Spine2            252  176
12     head_end          264  117
12     headfront         284  146
24     Head              262  145
24     Hips              256  240
24     LeftArm           242  161
24     LeftFoot          282  356
24     LeftForeArm       225  201
24     LeftHand          213  237
24     LeftLeg           298  291
24     LeftShoulder      248  169
24     LeftToeBase       302  368
24     LeftUpLeg         259  243
24     Neck              253  164
24     RightArm          246  196
24     RightFoot         246  384
24     RightForeArm      254  245
24     RightHand         274  282
24     RightLeg          270  328
24     RightShoulder     249  176
24     RightToeBase      269  397
24     RightUpLeg        259  265
24     Spine             251  219
24     Spine1            250  197
24     Spine2            250  176
24     head_end          261  117
24     headfront         282  145
