frame  bone                x    y
0      Head              255  145
0      Hips              256  239
0      LeftArm           286  169
0      LeftFoot          283  364
0      LeftForeArm       294  209
0      LeftHand          302  248
0      LeftLeg           285  329
0      LeftShoulder      262  166
0      LeftToeBase       285  390
0      LeftUpLeg         276  256
0      Neck              255  159
0      RightArm          225  170
0      RightFoot         245  379
0      RightForeArm      214  216
0      RightHand         210  263
0      RightLeg          234  324
0      RightShoulder     249  166
0      RightToeBase      240  402
0      RightUpLeg        238  256
0      Spine             256  214
0      Spine1            256  192
0      Spine2            256  170
0      head_end          255  117
0      headfront         255  156
12     Head              255  150
12     Hips              256  240
12     LeftArm           286  172
12     LeftFoot          265  374
12     LeftForeArm       295  219
12     LeftHand          301  266
12     LeftLeg           272  323
12     LeftShoulder      262  169
12     LeftToeBase       267  397
12     LeftUpLeg         276  255
12     Neck              255  162
12     RightArm          224  173
12     RightFoot         231  374
12     RightForeArm      213  215
12     RightHand         205  259
12     RightLeg          227  331
12     RightShoulder     249  169
12     RightToeBase      226  400
12     RightUpLeg        238  257
12     Spine             256  216
12     Spine1            256  194
12     Spine2            255  173
12     head_end          256  122
12     headfront         254  161
24     Head              256  149
24     Hips              256  240
24     LeftArm           286  170
24     LeftFoot          283  387
24     LeftForeArm       292  203
24     LeftHand          297  236
24     LeftLeg           283  331
24     LeftShoulder      262  168
24     LeftToeBase       286  412
24     LeftUpLeg         276  257
24     Neck              255  161
24     RightArm          225  172
24     RightFoot         246  372
24     RightForeArm      217  221
24     RightHand         218  271
24     RightLeg          234  324
24     RightShoulder     249  168
24     RightToeBase      240  395
24     RightUpLeg        238  257
24     Spine             256  216
24     Spine1            256  194
24     Spine2            256  172
24     head_end          256  120
24     headfront         255  159
